date,year,month,BienesConsumo_NoDuradero,BienesConsumo_Duradero,BienesConsumo_Total,MateriasPrimas_CombustiblesYLubricantes,MateriasPrimas_ParaAgricultura,MateriasPrimas_ParaIndustria,MateriasPrimas_MaterialesConstruccion,MateriasPrimas_PartesAccesoriosEquipoTransporte,BienesCapital_Total,BienesCapital_ParaAgricultura,BienesCapital_ParaIndustria,BienesCapital_EquipoTransporte,BienesCapital_TotalAmpliado,Diversos_Total,TotalImportaciones_CIF,TotalImportaciones_FOB,Importaciones_ParaTransformacion,ImportacionesTemporales_VehiculosYAeronaves,TotalImportaciones_CIF2,TotalImportaciones_FOBAjustado_MillonesUSD
2005-01-31,2005,1,21.099398,11.713525,32.812923,11.138819999999999,10.008094999999999,56.172996,9.681505,4.507984,91.5094,1.895632,34.300822,14.275978,50.472432,1.028354,175.823109,,,,171.41386,0.0
2005-02-28,2005,2,23.120173,12.330895,35.451068,9.670717,7.121913,54.636827000000004,8.563475,4.991647,84.984579,3.8098719999999995,27.505544,11.878121,43.193537,2.306397,165.93558099999998,,,,161.62017899999998,0.0
2005-03-31,2005,3,22.479285,12.119486,34.598771,12.876802,7.333307,53.567768,9.555204,5.596576,88.929657,6.480385000000001,25.066346,7.51252,39.059251,3.540187,166.127866,,,,165.987978,0.0
2005-04-30,2005,4,24.458453,14.936117,39.39457,18.946776999999997,6.793708,66.956756,8.529138,7.230453,108.45683199999999,2.779862,32.177392999999995,9.542231000000001,44.499486,3.3487519999999997,195.69964,,,,195.660527,0.0
2005-05-31,2005,5,23.547659000000003,16.704822999999998,40.252482,16.279514,8.541596,61.193288,9.345785,6.351944,101.71212700000001,2.831319,42.742477,6.175925,51.749721,1.0778370000000002,194.792167,,,,194.768559,0.0
2005-06-30,2005,6,23.306998999999998,14.954101,38.2611,19.07251,8.551681,63.431836000000004,9.57348,6.101502,106.731009,2.016498,34.111667,12.249551,48.37771599999999,1.457692,194.827517,,,,194.80124,0.0
2005-07-31,2005,7,25.25224,18.219461,43.471700999999996,26.574398,5.6527460000000005,63.87337699999999,10.117607,7.610228,113.82835599999999,1.9633869999999998,41.457908999999994,13.44624,56.86753599999999,1.38966,215.55725299999997,,,,215.53736999999998,0.0
2005-08-31,2005,8,26.005701999999996,20.96083,46.966532,22.932087,5.963199,65.380886,10.235107,7.528439,112.03971800000001,2.446179,44.299733,11.567467,58.313379000000005,1.77433,219.093959,,,,218.853926,0.0
2005-09-30,2005,9,24.357887999999996,23.305879,47.66376699999999,23.554069000000002,7.401548,59.696353,9.248123,7.463012,107.363105,4.665442,32.151866,12.52519,49.342498,2.528694,206.89806399999998,,,,206.86665599999998,0.0
2005-10-31,2005,10,25.081484000000003,22.855604,47.937088,31.330541999999998,15.214984,58.32942,10.824731,7.481624,123.18130099999999,4.281855,32.803523,10.401305,47.486683,1.80397,220.409042,,,,220.409042,0.0
2005-11-30,2005,11,30.454244000000003,28.177153999999998,58.631398000000004,26.652051,15.800255,63.079698,13.952894,6.227601,125.71249900000001,3.211309,44.18314900000001,8.63571,56.030168,1.7164640000000002,242.090529,,,,242.090529,0.0
2005-12-31,2005,12,28.068743,30.695064000000002,58.763807,20.491436,15.290833,62.768097,12.331194,6.037601,116.91916099999999,2.63878,50.954742,12.349014,65.942536,1.187206,242.81270999999998,,,,242.81270999999998,0.0
2006-01-31,2006,1,22.17374,10.336565,32.510305,21.459862,11.513831,72.034835,12.065988,7.955693,125.030209,2.773258,48.001363999999995,30.547657,81.322279,2.669957,241.53275000000002,,,,240.10542300000003,0.0
2006-02-28,2006,2,20.833463,9.607925999999999,30.441388999999997,15.688951,6.642830999999999,54.745937,10.234072999999999,5.996651,93.308443,3.021978,32.745909999999995,22.339421,58.107308999999994,1.594529,183.45166999999998,,,,183.44680289457997,0.0
2006-03-31,2006,3,30.530621,11.398309999999999,41.928931,23.046625999999996,7.693457,83.12702,13.681735,6.116413,133.665251,3.7751119999999996,57.387046,27.494505,88.656663,2.0774679999999996,266.328313,,,,266.31544930730996,0.0
2006-04-30,2006,4,26.330754,14.973453999999998,41.304207999999996,24.790741999999998,5.421715,58.220314,14.842283000000002,6.916331,110.19138500000001,3.1594879999999996,51.506882999999995,22.138108,76.804479,1.2579440000000002,229.55801599999998,,,,228.04773450681,0.0
2006-05-31,2006,5,30.409533000000003,18.026887,48.43642,28.931929999999998,10.643319,74.86086000000002,17.774048,7.153094,139.36325100000002,2.684501,64.443192,22.830305,89.95799799999999,1.411552,279.169221,,,,279.12782434987,0.0
2006-06-30,2006,6,28.473657,11.787894,40.261551,20.832777,8.589293000000001,74.21076500000001,14.553761999999999,7.487033,125.67363,2.7936449999999997,56.025101,26.634231,85.452977,1.250927,252.63908500000002,,,,251.12393152605003,0.0
2006-07-31,2006,7,26.098035000000003,10.901299999999999,36.999335,16.363779,6.135051,65.499301,13.568679,7.446536,109.013346,3.2370859999999997,41.386275999999995,28.159806,72.78316799999999,1.650909,220.446758,,,,220.44217189578,0.0
2006-08-31,2006,8,28.661312000000002,11.766445,40.427757,19.488955999999998,5.762002,67.615794,13.90436,8.909726,115.680838,2.685452,52.931304,28.647189,84.26394499999999,3.085933,243.45847299999997,,,,243.458473,0.0
2006-09-30,2006,9,28.052578,11.747098000000001,39.799676000000005,16.846864999999998,6.834889,65.926619,11.781928,6.636606,108.026907,4.080968,44.821405,29.438684000000002,78.341057,2.962413,229.130053,,,,229.11306964596,0.0
2006-10-31,2006,10,30.205595,13.432358999999998,43.63795399999999,20.605084,11.733360999999999,72.90935300000001,16.854128000000003,8.316282,130.41820800000002,3.344008,48.75086400000001,28.652480999999998,80.747353,2.209512,257.013027,,,,255.81142004347,0.0
2006-11-30,2006,11,34.952307000000005,14.083797,49.03610400000001,24.412247999999998,14.872159,71.191653,14.480281999999999,8.505215,133.461557,5.285262,49.41631099999999,26.603960999999998,81.305534,1.77488,265.578075,,,,264.49900543479004,0.0
2006-12-31,2006,12,29.769205,15.624590000000001,45.393795,39.816834,12.731907,70.08193800000001,13.040372000000001,7.222661,142.893712,2.195304,41.431810999999996,24.430012,68.057127,1.1188639999999999,257.463498,,,,254.24151094892002,0.0
2007-01-31,2007,1,29.878724,29.378671999999998,59.257396,17.463481,12.509273,81.741596,14.698902,7.070425,133.483677,2.514188,59.30508100000001,22.019415,83.838684,1.6820339999999998,278.26179099999996,,,,278.252855,0.0
2007-02-28,2007,2,29.74569,24.955148,54.700838000000005,15.663556,9.811674,64.65891899999998,10.640151,7.57131,108.34560999999998,3.7997680000000003,33.962536,15.585420999999998,53.347725,1.262605,217.656778,,,,217.656778,0.0
2007-03-31,2007,3,35.217352,32.098794,67.316146,23.971998,8.784422,83.253392,13.931436999999999,9.798435,139.739684,5.96007,51.897726000000006,18.723557999999997,76.581354,2.556766,286.19395000000003,,,,286.19395000000003,0.0
2007-04-30,2007,4,30.298325,31.093383,61.391707999999994,14.573919,8.673598,79.31341199999999,12.953635,10.460216,125.97478,5.557755,46.985043,19.929206,72.472004,1.447466,261.285958,,,,261.285958,0.0
2007-05-31,2007,5,36.091882999999996,34.999708000000005,71.091591,22.206272,10.231546,86.586132,17.177442,10.470667,146.672059,6.8364519999999995,58.894489,16.464606,82.195547,2.359429,302.318626,,,,302.31197800000007,0.0
2007-06-30,2007,6,31.470971,31.763012,63.233982999999995,17.061581999999998,12.626602,85.643615,15.390595,9.435831,140.158225,4.623086000000001,41.022298,17.728167,63.373551,2.239512,269.005271,,,,269.005271,0.0
2007-07-31,2007,7,32.610122,32.924776,65.534898,15.860671,9.078747,94.05742099999999,18.859187,9.757466,147.61349199999998,4.124917,58.94074199999999,20.219338,83.284997,2.135435,298.56882199999995,,,,298.56882199999995,0.0
2007-08-31,2007,8,38.067849,38.583404,76.651253,22.926171999999998,10.601726,100.951268,21.025964,10.887842,166.392972,5.617364,60.914322000000006,21.047183999999998,87.57887000000001,3.4181919999999995,334.04128699999995,,,,334.04128699999995,0.0
2007-09-30,2007,9,33.625499999999995,35.898213,69.52371299999999,23.34235,11.072528,81.772157,18.325298,8.660261,143.172594,8.428982,50.563053000000004,24.29081,83.28284500000001,3.967279,299.946431,,,,297.68561500000004,0.0
2007-10-31,2007,10,39.792947000000005,43.564682000000005,83.357629,30.34231,16.381674,95.26557000000001,23.032899,11.27783,176.30028299999998,7.250007999999999,67.03637499999999,20.056398,94.34278099999999,2.755115,356.755808,,,,356.755808,0.0
2007-11-30,2007,11,40.666007,39.425399999999996,80.091407,34.42887,17.839355,85.674137,21.965848,8.994009,168.902219,7.085946,63.082945,16.300167000000002,86.469058,2.132694,337.59537800000004,,,,337.59537800000004,0.0
2007-12-31,2007,12,40.419995,44.157327,84.57732200000001,42.594708000000004,19.080894,85.14984600000001,17.579228,8.735556,173.14023200000003,3.957508,61.283871000000005,20.423438,85.66481700000001,2.939273,346.3216440000001,,,,346.3216440000001,0.0
2008-01-31,2008,1,38.788728,43.027801,81.816529,24.003166,17.206869,98.657297,21.50716,9.37795,170.752442,4.477384,72.646672,22.25125,99.375306,3.861686,355.805963,,,,355.805963,0.0
2008-02-29,2008,2,39.741063,33.415711,73.156774,27.433404,14.457433,89.561995,19.214176,10.355469,161.02247699999998,6.429526,59.085786,15.860088,81.3754,6.53301,322.08766099999997,,,,322.08766099999997,0.0
