date,year,month,Estaño,Zinc,Plata,Oro,Otros Minerales,Total Minerales,Gas Natural,Petróleo,Otros Hidrocarburos,Total Hidrocarburos,Soya1,Madera,Castaña,Joyeria,Otros No Tradicionales,Total No Tradicionales,Otros Bienes,Total Declarado,Bienes para Transformacion,Fletes y Seguros,Compra Venta Neto,FOB
2018-06-30,2018,6,22.832569729999996,123.13967254000002,50.44866552999999,97.14634788000002,32.50721859999999,326.07447428,263.89868726,0.0,5.285497469999996,269.18418472999997,100.70545414,2.5997080699999997,24.402997600000003,11.903900340000002,36.83516384999999,176.447224,14.646123939999992,786.3520069499999,-3.4427736099999997,-11.11659688647642,0.052100945686012756,771.8447373992095
2018-07-31,2018,7,29.625568670000003,129.73489909999998,52.449509049999996,86.37249864,36.00349086,334.18596632,290.74874128,0.0,5.408079050000026,296.15682033,96.99373877000001,2.70307406,25.87891038,5.87623778,49.10095166000002,180.55291265000002,19.368207760000004,830.2639070600001,-4.97498567,-11.534776094212262,-0.3675414079272037,813.3866038878606
2018-08-31,2018,8,27.49135141,126.47102162,52.635293340000004,100.14297998999999,31.392336429999943,338.13298278999997,290.06495215000007,19.7583242,6.557967550000004,316.3812439000001,76.25293093,3.14154646,20.46691114,7.472406240000001,52.30482725000007,159.63862202000007,17.44914887,831.6019975800001,-4.486187409999999,-10.22255370433708,-0.3675414079272037,816.5257150577359
2018-09-30,2018,9,26.588340659999997,103.07899678999999,47.05577763000001,102.32767555,30.834656629999984,309.88544726,269.95512679,0.0,4.100408370000025,274.05553516000003,66.56837597,2.8195325399999995,14.56558435,8.397678180000003,60.425177959999985,152.77634899999998,17.873876669999998,754.5912080899999,-4.10749984,-10.204751683468402,-0.3675414079272037,739.9114151586043
2018-10-31,2018,10,21.18415082,114.95485422,41.50506375999999,120.66033059000002,29.98555559999994,328.28995498999996,280.17181657000003,17.1369,7.161407270000009,304.47012384000004,66.46522809999999,4.11109316,15.481589240000002,10.055133559999998,76.58740232000002,172.70044638000002,11.22901005,816.68953526,-3.57012712,-8.596988757131,-0.23333333333333334,804.2890860495355
2018-11-30,2018,11,27.261099980000004,123.71711040000001,46.72788048000002,147.4853138,33.59245572000003,378.78386038,189.92346141000002,0.0,4.687471380000005,194.61093279000002,31.5755122,3.728844149999999,14.6636245,12.484975919999998,60.56141471000003,123.01437148000002,14.787891049999997,711.1970557000001,-4.043356439999999,-11.06076274467588,-0.23333333333333334,695.8596031819908
2018-12-31,2018,12,29.41054666,108.13527269000001,42.25069098,95.42521778999999,28.23891358000003,303.46064170000005,166.20632408,0.0,6.243574429999995,172.44989851,37.53745702,3.70509725,11.84888443,8.99219933,65.28502501000003,127.36866304000003,17.95244203,621.2316452800001,-3.4909406299999994,-10.52801406836074,-0.23333333333333334,606.979357248306
2019-01-31,2019,1,26.05798043,113.21516984,52.83011416000001,136.76667482999997,28.732841529999973,357.60278079,215.15255439,0.0,1.18208077,216.33463516,47.053904360000004,2.5217763499999997,9.035269759999998,5.8386419400000005,46.858997439999996,111.30858984999999,14.699120240000013,699.94512604,-2.7665455899999998,-6.081144231122695,0.005780513333333334,691.1032167322106
2019-02-28,2019,2,17.077483840000003,71.51303234000001,35.386168239999996,86.52442147000001,16.751147220000007,227.25225311000003,260.74122850000003,0.0,3.4142429000000005,264.1554714,55.00946021,4.00263472,8.401982240000002,7.40890245,50.891208179999964,125.71418779999998,19.806583450000005,636.92849576,-3.56732401,-3.458268933162614,0.005780513333333334,629.9086833301708
2019-03-31,2019,3,27.35398045,142.54337653000002,55.44381344000001,108.27674245,22.06991948999996,355.68783236,174.78043654,0.0,3.52260798,178.30304452000001,64.21573390999998,4.1241749500000005,12.333069499999997,13.782405930000001,47.965186720000005,142.42057100999997,14.855015799999904,691.2664636899999,-3.937976,-7.424376982313794,0.005780513333333334,679.9098912210194
2019-04-30,2019,4,27.545092520000004,124.88804001000001,51.26631836,98.42247055,20.490951940000002,322.61287338000005,163.90890763,0.0,4.92213133,168.83103896,54.01279047000001,2.8189253499999993,18.424046060000002,8.86349266,47.24838206999998,131.36763661,18.025164639999872,640.8367135899999,-3.3279924100000002,-6.5041033265345805,0.16435681666666666,631.168974670132
2019-05-31,2019,5,29.804422810000002,142.38845018,50.29297287999999,128.28871301,20.27990735000003,371.05446623,213.12262314000003,12.17967331,3.88070915,229.18300560000003,98.36034583,2.81183095,13.709500300000002,10.299347290000002,47.55697050999997,172.73799487999997,19.939337199999926,792.9148039099999,-3.5572825699999995,-7.611394642494,0.16435681666666666,781.9104835141726
2019-06-30,2019,6,26.648047250000005,122.61266221,55.35190846,129.54318236999998,22.717238689999988,356.87303898,224.09238243,0.0,3.09906477,227.1914472,65.35434952,2.5381301099999996,12.816264,11.64462302,65.61098961999997,157.96435626999997,22.835364939999977,764.8642073899999,-2.13070016,-5.92342652213884,0.16435681666666666,756.9744375245278
2019-07-31,2019,7,22.55072773,129.79287018000002,49.11935209999999,187.02242660000002,24.14203581999999,412.62741243,239.92060850000001,0.0,4.429173700000001,244.34978220000002,90.58763551,3.47300646,11.905682930000003,12.239996510000001,60.03625765999999,178.24257906999998,22.45773389999991,857.6775075999999,-2.6491738799999993,-5.99757114236348,-0.23333333333333334,848.7974292443031
