date,year,month,Reservas Internacionales Netas RIN = RIB - OECP,Reservas Internacionales Brutas RIB,Obligaciones con el exterior a corto plazo OECP,Crédito Neto al Sector Público CNSP,Total,col_8,col_9,BASE MONETARIA BM,Billetes y Mo- nedas en Poder del Público C,MN,UFV,ME,TOTAL
2015-03-01,2015,3,102677273.850032,102677479.659636,205.8096039999998,-31100461.763368092,5231656.3400962,1396526.4081670002,3835129.9319291995,53168353.856128395,33144828.9108,14793147.488739997,41927.941192388396,5188449.515396,20023524.945328385
2015-04-01,2015,4,101809080.74298641,101812620.6681752,3539.925188800001,-33126363.105549008,5740723.645561,1885810.8468988002,3854912.7986622,52657881.86656551,32939508.605849996,14939320.54203,41845.945945132,4737206.7727404,19718373.260715533
2015-05-01,2015,5,100483061.15700999,100483509.4756402,448.31863020000014,-31763446.206964374,5242366.8963677995,1394579.9876982002,3847786.9086696,52892309.27719936,33434673.94484999,14870552.447340004,50005.86690216119,4537077.018107201,19457635.332349367
2015-06-01,2015,6,100896457.61278723,100899329.54684803,2871.9340608,-31746886.380987838,5285846.090923,1398578.0964030002,3887267.99452,55576847.90672904,33398302.91422,17223465.614419997,50184.4905726474,4904894.8875164,22178544.992509045
2015-07-01,2015,7,99374487.37999299,99374474.78736539,-12.592627600000007,-33903953.37919872,5273057.604854001,1397312.6024992,3875745.0023548002,54704039.467584014,33224316.824609995,16299438.352880001,43320.300648625,5136963.9894453995,21479722.642974027
2015-08-01,2015,8,98459249.8059702,98461760.1750188,2510.3690486000005,-34604179.077711254,5269571.9942732,1397170.6448834,3872401.3493898,54681517.67229295,32988557.994769998,17468749.092400003,44278.8658869508,4179931.719236,21692959.677522954
2015-09-01,2015,9,97595667.3362748,97612467.31266381,16799.976389,-33442229.593978196,5266104.5691132,1401343.2579252,3864761.311188,57953789.50919171,32688028.515059996,20459154.512100007,45015.6266313248,4761590.855400401,25265760.994131733
2015-10-01,2015,10,95814691.3393712,95816741.9471724,2050.6078012,-31437801.849881683,5265186.119495801,1400668.0848876003,3864518.0346082,60037293.180466115,33217098.091510005,22502183.24928,45149.90078512081,4272861.938891,26820195.08895612
2015-11-01,2015,11,92805007.8631606,92806132.52771279,1124.6645522,-29994733.169060737,5352816.5501878,1400269.6160208,3952546.9341670005,61589850.563890606,33019796.193630006,23892877.415149994,45312.7623394024,4631864.192771201,28570054.370260596
2015-12-01,2015,12,89563474.4362274,89565137.047162,1662.6109345999998,-15862082.772082074,5214597.2507601995,1400672.2407826001,3813925.0099775996,71566553.77758682,37180572.12282,29493852.918660004,63969.1511280192,4828159.5849788,34385981.65476683
2016-01-01,2016,1,87933607.66624978,87933513.97175238,-93.69449739999988,-20011825.010876417,5206729.081969201,1398900.9644668002,3807828.1175024,66595033.79912484,35577112.55578,26641069.41608,63922.5001248288,4312929.327140001,31017921.24334483
2016-02-01,2016,2,87721448.27468121,87721372.9415912,-75.33309000000008,-20263734.654778786,5305418.8961507995,1507138.8313698,3798280.0647809994,63175544.665872686,34418166.20534,24210453.679599993,64067.72881726799,4482857.0521154,28757378.46053266
2016-03-01,2016,3,85631724.88594781,85632555.70548701,830.8195392000002,-19957445.178932104,5304856.954141401,1508183.0400764004,3796673.914065,59674575.930174425,33566097.98129001,21745372.34937999,78205.91323721151,4284899.686267201,26108477.9488844
2016-04-01,2016,4,83920036.2442372,83920819.763116,783.5188788,-19968056.496929783,5312908.422502601,1518907.8456752,3794000.5768274004,57933897.32151783,33817622.58896001,20316076.462009996,78500.94306121461,3721697.3274866003,24116274.73255781
